cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"17094","0","522669","4276344","HomeBank Texas","Seagoville","TX","75159","9/30/2017","5/19/2019","NM","601 North Highway 175","MTA BANCSHARES, INC.","4","0","0","4","1","Dallas","19100","Dallas-Fort Worth-Arlington, TX","4/7/1952","4/7/1952","8/3/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.homebanktx.com","128113","1757","129870","0","129870","110079","110079","17308","42643","25579","17064","4351","39776","6001","","0","18052","","1739","0","0","680","1059","0","","0","0","0","0","0","","61","61","5240","12068","1541",""
"57632","0","3223408","0","Homeland Community Bank","Mcminnville","TN","37110","9/30/2017","5/19/2019","NM","900 North Chancery Street","","3","0","0","4","0","Warren","","","11/24/2003","11/24/2003","5/6/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.homelandcb.com","84402","1684","86086","0","86086","71758","71758","8786","23901","23901","0","2726","29444","6901","","2653","7629","","4046","0","0","1689","2357","0","","0","0","0","0","309","","354","28","2833","5953","1160",""
"32459","8286","251978","0","Homeland Federal Savings Bank","Columbia","LA","71418","9/30/2017","5/19/2019","SA","7840 Us Highway 165 South","","4","0","0","4","1","Caldwell","","","3/12/1986","3/18/1986","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.homelandfsbank.com","190662","2673","193335","216","193551","138615","138615","11025","49944","47303","2641","168","69298","8180","","2637","23926","","27213","0","0","4655","22558","1160","","0","1160","0","0","0","","1069","146","5094","5931","2343",""
"11466","0","747051","1095870","HomePride Bank","Mansfield","MO","65704","9/30/2017","5/19/2019","NM","110 East Commercial","BANC 60, INC.","5","0","0","6","1","Wright","","","3/3/1892","1/1/1934","10/13/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","http://www.homepridebank.com","80177","1071","81248","0","81248","69952","69952","2319","8984","88","8896","657","50245","7747","","3128","4935","","3030","0","2","1972","1056","203","","0","0","203","0","0","","1213","1183","1821","498","874",""
"16375","9073","300036","1209088","HomeStar Bank and Financial Services","Manteno","IL","60950","9/30/2017","5/19/2019","NM","303 Section Line Road","HOMESTAR FINANCIAL GROUP, INC.","5","0","0","8","0","Kankakee","28100","Kankakee, IL","2/23/1946","2/23/1946","10/20/2015","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","http://www.homestarbank.com","194342","2883","197225","144","197369","169501","169501","13591","40527","18537","21990","13355","87197","14831","","5794","11060","","6617","0","0","547","6070","4397","","1099","3298","0","0","913","","1812","816","2239","11352","2761",""
"11482","0","140157","1055696","Homestead Bank","Cozad","NE","69130","9/30/2017","5/19/2019","NM","915 Meridian Avenue","C.S.B. CO.","8","0","0","2","1","Dawson","","","1/1/1905","1/1/1934","3/1/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.homestead.bank","174220","1845","176065","0","176065","67920","67920","557","11309","2741","8568","1834","5006","49214","","85920","17463","","2878","0","67","1398","1413","1884","","1685","0","199","0","0","","0","0","0","557","1845",""
"28667","18109","132778","0","Homestead Savings Bank","Albion","MI","49224","9/30/2017","5/19/2019","SA","415 South Superior Street","","5","0","0","5","0","Calhoun","12980","Battle Creek, MI","1/1/1889","2/25/1939","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","homesteadsavings.com","48933","347","49280","0","49280","47380","47380","1637","5560","3971","1589","430","39224","529","","225","813","","840","0","11","461","368","22","","8","14","0","0","0","","1507","109","0","1637","349",""
"32489","8324","258771","3843507","HomeStreet Bank","Seattle","WA","98101","9/30/2017","5/19/2019","NM","601 Union St., Suite 2000","HOMESTREET, INC.","79","0","1","4","0","King","42660","Seattle-Tacoma-Bellevue, WA","8/18/1986","8/18/1986","3/24/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","0","WWW.HOMESTREET.COM","5164351","37055","5201406","0","5201406","4932395","4932395","684972","965325","313217","652108","865608","2391322","25168","","20270","219904","0","18065","0","4851","9490","3724","10772","","0","10772","0","0","1281","0","66512","11913","362780","322192","38195",""
"31028","6278","788773","0","HomeTown  Bank","Redwood Falls","MN","56283","9/30/2017","5/19/2019","SA","1000 East Cook St","","10","0","0","4","0","Redwood","","","1/1/1924","9/22/1958","12/10/2018","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.htbmn.com","207229","3599","210828","0","210828","157138","157138","12468","48301","32730","15571","5983","69513","20873","","23021","21791","","8656","0","595","5486","2575","222","","123","99","0","0","614","","0","0","5350","7118","2697",""
"58163","0","3357910","3848342","HomeTown Bank","Roanoke","VA","24011","9/30/2017","5/19/2019","SM","202 South Jefferson Street","HOMETOWN BANKSHARES CORPORATION","6","0","0","4","0","Roanoke City","40220","Roanoke, VA","11/14/2005","11/14/2005","3/31/2019","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.hometownbank.com","432117","3706","435823","0","435823","369124","369124","36589","180150","81832","98318","11151","137306","3928","","2574","53836","0","7724","434","913","677","5700","2565","","921","1644","0","0","0","0","3400","3400","15240","21349","3706",""
"26523","0","1004470","3728930","Hometown Bank","Oxford","MA","1540","9/30/2017","5/19/2019","SM","31 Sutton Avenue","HOMETOWN FINANCIAL GROUP MHC","13","0","1","4","0","Worcester","49340","Worcester, MA-CT","1/1/1889","2/3/1986","12/31/2018","Non-Stock","0","1","FED","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.hometowncoop.com","490037","1994","492031","0","492031","452440","452440","31947","145556","69895","75661","21665","252030","1242","","0","37677","","1914","0","101","460","1353","0","","0","0","0","0","0","","334","0","16153","15794","2036",""
"30219","4984","940674","3311202","Hometown Bank","Kent","OH","44240","9/30/2017","5/19/2019","NM","142 North Water Street","HOMETOWN BANCORP, INC.","5","0","0","4","0","Portage","10420","Akron, OH","1/1/1898","12/29/1943","9/8/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.htbnk.com","146216","1407","147623","0","147623","134972","134972","2248","61802","32419","29383","9219","61703","0","","0","10504","","2081","780","0","565","736","66","","0","66","0","0","0","","969","167","683","1565","1408",""
"12781","13928","63742","2628453","Hometown Bank","Fond Du Lac","WI","54935","9/30/2017","5/19/2019","NM","80 Sheboygan Street","HOMETOWN BANCORP, LTD.","7","0","0","4","0","Fond Du Lac","22540","Fond du Lac, WI","1/1/1907","1/1/1934","1/24/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","HTTP://HTBWI.COM","227803","3999","231802","0","231802","163889","163889","7307","99118","75545","23573","16078","37481","3905","","2000","62790","","1911","0","12","385","1514","1212","","712","500","0","0","638","","588","558","1693","5614","2965",""
"35455","0","2897633","2955300","Hometown Bank of Corbin, Inc.","Corbin","KY","40702","9/30/2017","5/19/2019","NM","1030 Cumberland Falls Hwy","HOMETOWN BANCSHARES, INC.","5","0","0","4","0","Whitley","","","4/3/2000","4/3/2000","5/1/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","http://www.ahometownbank.com","106817","1120","107937","0","107937","92878","92878","6616","32576","13874","18702","4583","46943","2160","","0","8019","","5147","0","216","1148","3783","1893","","1498","395","0","0","0","","157","0","4160","2456","1120",""
"58470","0","3594087","0","Hometown Bank of Pennsylvania","Bedford","PA","15522","9/30/2017","5/19/2019","NM","638 East Pitt Street","","3","0","0","4","0","Bedford","","","4/9/2007","4/9/2007","10/22/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","www.hometownbankpa.com","131201","1530","132731","0","132731","116781","116781","3635","32985","22193","10792","5906","65903","8352","","706","12889","","1768","0","159","592","1017","587","","444","143","0","0","0","","1654","632","1332","2303","1511",""
"34727","0","2648376","2648367","Hometown Bank, National Association","Carthage","MO","64836","9/30/2017","5/19/2019","N","312 West Central","HOMETOWN BANCSHARES, INC.","7","0","0","4","0","Jasper","27900","Joplin, MO","6/8/1998","6/8/1998","6/8/2018","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","0","1","","147973","2363","150336","0","150336","122790","122790","2450","45471","26209","19262","7209","41880","25780","","6794","13466","","5165","0","135","2478","2552","2121","","0","2055","66","0","0","","0","0","1425","1025","1866",""
"19603","12778","393953","1107522","HomeTown Bank, National Association","Galveston","TX","77552","9/30/2017","5/19/2019","N","1801 45th Street","MOODY BANCSHARES, INC.","7","0","0","4","0","Galveston","26420","Houston-The Woodlands-Sugar Land, TX","6/27/1966","6/27/1966","5/29/2012","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","WWW.HTBNA.BANK","367871","4233","372104","0","372104","323922","323922","41076","170647","100376","70271","5282","99998","6919","","153","34773","","12333","0","69","1740","10524","923","","0","923","0","0","1727","","43","43","3770","37306","4233",""
